Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD
Argentina,1965,5.78,15.4,17.82,8.65,5.488,13.09,7.85,10.47,10.47,10.47,0.317,0.845,0.978,0.475,0.718,0.431,0.575,0.575,0.575
Argentina,1966,5.78,15.4,17.82,8.65,5.543,13.09,7.85,10.47,10.47,10.47,0.32,0.854,0.988,0.48,0.726,0.435,0.58,0.58,0.58
Argentina,1967,5.78,15.4,17.82,8.65,4.697,13.09,7.85,10.47,10.47,10.47,0.271,0.723,0.837,0.406,0.615,0.369,0.492,0.492,0.492
Argentina,1968,5.78,15.4,17.82,8.65,5.119,13.09,7.85,10.47,10.47,10.47,0.296,0.788,0.912,0.443,0.67,0.402,0.536,0.536,0.536
Argentina,1969,5.78,15.4,17.82,8.65,6.052,13.09,7.85,10.47,10.47,10.47,0.35,0.932,1.078,0.523,0.792,0.475,0.634,0.634,0.634
Argentina,1970,5.78,15.4,17.82,8.65,6.115,13.09,7.85,10.47,10.47,10.47,0.353,0.942,1.09,0.529,0.8,0.48,0.64,0.64,0.64
Argentina,1971,5.78,15.4,17.82,8.65,6.446,13.09,7.85,10.47,10.47,10.47,0.373,0.993,1.149,0.558,0.844,0.506,0.675,0.675,0.675
Argentina,1972,5.78,15.4,17.82,8.65,6.725,13.09,7.85,10.47,10.47,10.47,0.389,1.036,1.198,0.582,0.88,0.528,0.704,0.704,0.704
Argentina,1973,5.78,15.4,17.82,8.65,10.174,13.09,7.85,10.47,10.47,10.47,0.588,1.567,1.813,0.88,1.332,0.799,1.065,1.065,1.065
Argentina,1974,5.78,15.4,17.82,8.65,14.025,13.09,7.85,10.47,10.47,10.47,0.811,2.16,2.499,1.213,1.836,1.101,1.468,1.468,1.468
Argentina,1975,5.78,15.4,17.82,8.65,10.153,13.09,7.85,10.47,10.47,10.47,0.587,1.564,1.809,0.878,1.329,0.797,1.063,1.063,1.063
Argentina,1976,5.78,15.4,17.82,8.65,9.907,13.09,7.85,10.47,10.47,10.47,0.573,1.526,1.766,0.857,1.297,0.778,1.037,1.037,1.037
Argentina,1977,5.78,15.4,17.82,8.65,10.994,13.09,7.85,10.47,10.47,10.47,0.635,1.693,1.959,0.951,1.439,0.863,1.151,1.151,1.151
Argentina,1978,5.78,15.4,17.82,8.65,17.242,13.09,7.85,10.47,10.47,10.47,0.997,2.655,3.072,1.491,2.257,1.353,1.805,1.805,1.805
Argentina,1979,5.78,15.4,17.82,8.65,13.409,13.09,7.85,10.47,10.47,10.47,0.775,2.065,2.389,1.16,1.755,1.053,1.404,1.404,1.404
Argentina,1980,5.78,15.4,17.82,8.65,14.901,13.09,7.85,10.47,10.47,10.47,0.861,2.295,2.655,1.289,1.951,1.17,1.56,1.56,1.56
Argentina,1981,5.78,15.4,17.82,8.65,15.233,13.09,7.85,10.47,10.47,10.47,0.88,2.346,2.715,1.318,1.994,1.196,1.595,1.595,1.595
Argentina,1982,5.78,15.4,17.82,8.65,16.324,13.09,7.85,10.47,10.47,10.47,0.944,2.514,2.909,1.412,2.137,1.281,1.709,1.709,1.709
Argentina,1983,5.78,15.4,17.82,8.65,20.132,13.09,7.85,10.47,10.47,10.47,1.164,3.1,3.588,1.741,2.635,1.58,2.108,2.108,2.108
Argentina,1984,5.78,15.4,17.82,8.65,22.637,13.09,7.85,10.47,10.47,10.47,1.308,3.486,4.034,1.958,2.963,1.777,2.37,2.37,2.37
Argentina,1985,5.78,15.4,17.82,8.65,17.068,13.09,7.85,10.47,10.47,10.47,0.987,2.628,3.041,1.476,2.234,1.34,1.787,1.787,1.787
Argentina,1986,5.78,15.4,17.82,8.65,20.499,13.09,7.85,10.47,10.47,10.47,1.185,3.157,3.653,1.773,2.683,1.609,2.146,2.146,2.146
Argentina,1987,5.78,15.4,17.82,8.65,21.068,13.09,7.85,10.47,10.47,10.47,1.218,3.244,3.754,1.822,2.758,1.654,2.206,2.206,2.206
Argentina,1988,5.78,15.4,17.82,8.65,24.568,13.09,7.85,10.47,10.47,10.47,1.42,3.784,4.378,2.125,3.216,1.929,2.572,2.572,2.572
Argentina,1989,5.78,15.4,17.82,8.65,14.837,13.09,7.85,10.47,10.47,10.47,0.858,2.285,2.644,1.283,1.942,1.165,1.553,1.553,1.553
Argentina,1990,5.78,15.4,17.82,8.65,27.369,13.09,7.85,10.47,10.47,10.47,1.582,4.215,4.877,2.367,3.583,2.148,2.866,2.866,2.866
Argentina,1991,5.78,15.4,17.82,11.05,39.865,12.49,7.49,9.99,9.99,9.99,2.304,6.139,7.104,4.405,4.979,2.986,3.982,3.982,3.982
Argentina,1992,5.78,15.4,17.82,9.8,50.627,12.8,7.68,10.24,10.24,10.24,2.926,7.797,9.022,4.961,6.48,3.888,5.184,5.184,5.184
Argentina,1993,5.78,15.4,17.82,7.61,63.402,13.35,8.01,10.68,10.68,10.68,3.665,9.764,11.298,4.825,8.464,5.078,6.771,6.771,6.771
Argentina,1994,5.68,15.4,17.82,8.32,71.933,13.19,7.92,10.56,10.56,10.56,4.086,11.078,12.818,5.985,9.488,5.697,7.596,7.596,7.596
Argentina,1995,5.76,15.4,17.82,10.2,75.052,12.7,7.62,10.16,10.16,10.16,4.323,11.558,13.374,7.655,9.532,5.719,7.625,7.625,7.625
Argentina,1996,4.89,15.4,17.82,11.21,77.394,12.67,7.6,10.13,10.13,10.13,3.785,11.919,13.792,8.676,9.806,5.882,7.84,7.84,7.84
Argentina,1997,4.51,15.62,17.82,13.04,82.452,12.25,7.35,9.8,9.8,9.8,3.719,12.879,14.693,10.752,10.1,6.06,8.08,8.08,8.08
Argentina,1998,4.39,15.62,17.82,14.71,84.641,11.86,7.12,9.49,9.49,9.49,3.716,13.221,15.083,12.451,10.038,6.026,8.032,8.032,8.032
Argentina,1999,4.29,15.88,17.82,17.27,89.019,11.19,6.71,8.95,8.95,8.95,3.819,14.136,15.863,15.374,9.961,5.973,7.967,7.967,7.967
Argentina,2000,4.07,16.23,17.82,20.1,89.708,10.45,6.27,8.36,8.36,8.36,3.651,14.56,15.986,18.031,9.374,5.625,7.5,7.5,7.5
Argentina,2001,4.01,16.36,16.94,22.27,85.616,10.11,6.06,8.09,8.09,8.09,3.433,14.007,14.503,19.067,8.656,5.188,6.926,6.926,6.926
Argentina,2002,4.47,16.44,17.75,34.28,36.058,6.76,4.06,5.41,5.41,5.41,1.612,5.928,6.4,12.361,2.438,1.464,1.951,1.951,1.951
Argentina,2003,4.31,14.35,17.08,30.01,47.46,8.56,5.14,6.85,6.85,6.85,2.046,6.811,8.106,14.243,4.063,2.439,3.251,3.251,3.251
Argentina,2004,3.84,15.14,14.93,26.31,52.108,9.94,5.97,7.96,7.96,7.96,2.001,7.889,7.78,13.71,5.18,3.111,4.148,4.148,4.148
Argentina,2005,3.47,15.8,16.1,7.76,91.563,14.22,8.53,11.37,11.37,11.37,3.177,14.467,14.742,7.105,13.02,7.81,10.411,10.411,10.411
Argentina,2006,2.96,15.51,15.19,7.76,107.145,14.64,8.79,11.72,11.72,11.72,3.171,16.618,16.275,8.314,15.686,9.418,12.557,12.557,12.557
Argentina,2007,2.68,15.1,14.37,7.76,132.473,15.02,9.01,12.02,12.02,12.02,3.55,20.003,19.036,10.28,19.897,11.936,15.923,15.923,15.923
Argentina,2008,2.48,15.75,14.56,7.76,166.579,14.86,8.92,11.89,11.89,11.89,4.131,26.236,24.254,12.927,24.754,14.859,19.806,19.806,19.806
Argentina,2009,2.57,16.02,16.64,7.76,153.411,14.25,8.55,11.4,11.4,11.4,3.943,24.576,25.528,11.905,21.861,13.117,17.489,17.489,17.489
Argentina,2010,2.44,15.05,16.7,7.76,195.176,14.51,8.71,11.61,11.61,11.61,4.762,29.374,32.594,15.146,28.32,17.0,22.66,22.66,22.66
Argentina,2011,2.19,15.16,16.39,7.76,244.258,14.63,8.78,11.7,11.7,11.7,5.349,37.029,40.034,18.954,35.735,21.446,28.578,28.578,28.578
Argentina,2012,2.13,14.52,16.68,7.76,251.548,14.73,8.84,11.78,11.78,11.78,5.358,36.525,41.958,19.52,37.053,22.237,29.632,29.632,29.632
Argentina,2013,2.23,14.46,16.74,7.76,254.332,14.7,8.82,11.76,11.76,11.76,5.672,36.776,42.575,19.736,37.387,22.432,29.909,29.909,29.909
Argentina,2014,2.26,13.8,16.49,7.76,242.489,14.92,8.95,11.94,11.94,11.94,5.48,33.463,39.986,18.817,36.179,21.703,28.953,28.953,28.953
Argentina,2015,2.06,13.96,16.45,7.37,278.908,15.04,9.02,12.03,12.03,12.03,5.746,38.936,45.88,20.556,41.948,25.158,33.553,33.553,33.553
Argentina,2016,1.95,13.36,15.84,11.39,273.703,14.37,8.62,11.49,11.49,11.49,5.337,36.567,43.355,31.175,39.331,23.593,31.448,31.448,31.448
Argentina,2017,2.06,13.26,16.25,9.42,293.069,14.75,8.85,11.8,11.8,11.8,6.037,38.861,47.624,27.607,43.228,25.937,34.582,34.582,34.582
Argentina,2018,1.88,12.52,15.69,12.88,223.111,14.26,8.55,11.41,11.41,11.41,4.194,27.934,35.006,28.737,31.816,19.076,25.457,25.457,25.457
Argentina,2019,1.84,12.51,16.31,15.8,185.022,13.39,8.03,10.71,10.71,10.71,3.404,23.146,30.177,29.233,24.774,14.857,19.816,19.816,19.816
Argentina,2020,1.73,12.42,16.46,7.5,186.912,15.47,9.28,12.38,12.38,12.38,3.234,23.215,30.766,14.018,28.915,17.345,23.14,23.14,23.14
Argentina,2021,1.67,12.28,16.76,6.52,208.908,15.69,9.42,12.55,12.55,12.55,3.489,25.654,35.013,13.621,32.778,19.679,26.218,26.218,26.218
Argentina,2022,1.82,12.71,15.8,7.76,259.944,15.48,9.29,12.38,12.38,12.38,4.731,33.039,41.071,20.172,40.239,24.149,32.181,32.181,32.181
Argentina,2023,2.0,13.22,16.35,7.29,255.856,15.29,9.17,12.23,12.23,12.23,5.117,33.824,41.832,18.652,39.12,23.462,31.291,31.291,31.291
Argentina,2024,1.93,13.22,16.35,7.29,251.485,15.3,9.18,12.24,12.24,12.24,4.854,33.246,41.118,18.333,38.477,23.086,30.782,30.782,30.782
Argentina,2025,1.93,13.22,16.35,7.29,269.107,15.3,9.18,12.24,12.24,12.24,5.194,35.576,43.999,19.618,41.173,24.704,32.939,32.939,32.939
Argentina,2026,1.93,13.22,16.35,7.29,278.526,15.3,9.18,12.24,12.24,12.24,5.376,36.821,45.539,20.305,42.614,25.569,34.092,34.092,34.092
Australia,1946,7.04,13.25,14.6,5.0,2.468,9.02,6.01,12.02,21.04,12.02,0.174,0.327,0.36,0.123,0.223,0.148,0.297,0.519,0.297
Australia,1947,7.04,13.25,14.6,5.0,2.592,9.02,6.01,12.02,21.04,12.02,0.182,0.343,0.378,0.13,0.234,0.156,0.312,0.545,0.312
Australia,1948,7.04,13.25,14.6,5.0,2.721,9.02,6.01,12.02,21.04,12.02,0.192,0.361,0.397,0.136,0.245,0.164,0.327,0.573,0.327
Australia,1949,7.04,13.25,14.6,5.0,2.857,9.02,6.01,12.02,21.04,12.02,0.201,0.379,0.417,0.143,0.258,0.172,0.343,0.601,0.343
Australia,1950,7.04,13.25,14.6,5.0,3.0,9.02,6.01,12.02,21.04,12.02,0.211,0.398,0.438,0.15,0.271,0.18,0.361,0.631,0.361
Australia,1951,7.04,13.25,14.6,5.0,3.15,9.02,6.01,12.02,21.04,12.02,0.222,0.417,0.46,0.158,0.284,0.189,0.379,0.663,0.379
Australia,1952,7.04,13.25,14.6,5.0,3.308,9.02,6.01,12.02,21.04,12.02,0.233,0.438,0.483,0.165,0.298,0.199,0.398,0.696,0.398
Australia,1953,7.04,13.25,14.6,5.0,3.473,9.02,6.01,12.02,21.04,12.02,0.245,0.46,0.507,0.174,0.313,0.209,0.417,0.731,0.417
Australia,1954,7.04,13.25,14.6,5.0,3.647,9.02,6.01,12.02,21.04,12.02,0.257,0.483,0.532,0.182,0.329,0.219,0.438,0.767,0.438
Australia,1955,7.04,13.25,14.6,5.0,3.829,9.02,6.01,12.02,21.04,12.02,0.27,0.507,0.559,0.191,0.345,0.23,0.46,0.806,0.46
Australia,1956,7.04,13.25,14.6,5.0,4.021,9.02,6.01,12.02,21.04,12.02,0.283,0.533,0.587,0.201,0.363,0.242,0.483,0.846,0.483
Australia,1957,7.04,13.25,14.6,5.0,4.222,9.02,6.01,12.02,21.04,12.02,0.297,0.559,0.616,0.211,0.381,0.254,0.507,0.888,0.507
Australia,1958,7.04,13.25,14.6,5.0,4.433,9.02,6.01,12.02,21.04,12.02,0.312,0.587,0.647,0.222,0.4,0.266,0.533,0.933,0.533
Australia,1959,7.04,13.25,14.6,5.0,4.654,9.02,6.01,12.02,21.04,12.02,0.328,0.617,0.68,0.233,0.42,0.28,0.559,0.979,0.559
Australia,1960,7.04,13.25,14.6,5.0,4.887,9.02,6.01,12.02,21.04,12.02,0.344,0.648,0.713,0.244,0.441,0.294,0.587,1.028,0.587
Australia,1961,7.04,13.25,14.6,5.0,5.169,9.02,6.01,12.02,21.04,12.02,0.364,0.685,0.755,0.258,0.466,0.311,0.621,1.088,0.621
Australia,1962,7.04,13.25,14.6,5.0,5.233,9.02,6.01,12.02,21.04,12.02,0.368,0.693,0.764,0.262,0.472,0.314,0.629,1.101,0.629
Australia,1963,7.04,13.25,14.6,5.0,5.657,9.02,6.01,12.02,21.04,12.02,0.398,0.75,0.826,0.283,0.51,0.34,0.68,1.19,0.68
Australia,1964,7.04,13.25,14.6,5.0,6.251,9.02,6.01,12.02,21.04,12.02,0.44,0.828,0.913,0.313,0.564,0.376,0.751,1.315,0.751
Australia,1965,7.04,13.25,14.6,5.0,6.822,9.02,6.01,12.02,21.04,12.02,0.48,0.904,0.996,0.341,0.615,0.41,0.82,1.435,0.82
Australia,1966,7.04,13.25,14.6,5.0,7.172,9.02,6.01,12.02,21.04,12.02,0.505,0.95,1.047,0.359,0.647,0.431,0.862,1.509,0.862
Australia,1967,7.04,13.25,14.6,5.0,7.995,9.02,6.01,12.02,21.04,12.02,0.563,1.059,1.167,0.4,0.721,0.48,0.961,1.682,0.961
Australia,1968,7.04,13.25,14.6,5.0,8.592,9.02,6.01,12.02,21.04,12.02,0.605,1.138,1.254,0.43,0.775,0.516,1.033,1.808,1.033
Australia,1969,7.04,13.25,14.6,5.0,9.634,9.02,6.01,12.02,21.04,12.02,0.678,1.277,1.407,0.482,0.869,0.579,1.158,2.027,1.158
Australia,1970,7.04,13.25,14.6,5.0,10.855,9.02,6.01,12.02,21.04,12.02,0.764,1.438,1.585,0.543,0.979,0.652,1.305,2.284,1.305
Australia,1971,7.04,13.25,14.6,5.0,11.875,9.02,6.01,12.02,21.04,12.02,0.836,1.573,1.734,0.594,1.071,0.714,1.427,2.499,1.427
Australia,1972,7.04,13.25,14.6,5.0,13.667,9.02,6.01,12.02,21.04,12.02,0.962,1.811,1.995,0.683,1.233,0.821,1.643,2.876,1.643
Australia,1973,7.04,13.25,14.6,5.0,17.138,9.02,6.01,12.02,21.04,12.02,1.206,2.271,2.502,0.857,1.546,1.03,2.06,3.606,2.06
Australia,1974,7.04,13.25,14.6,5.0,23.473,9.02,6.01,12.02,21.04,12.02,1.653,3.11,3.427,1.174,2.117,1.411,2.821,4.939,2.821
Australia,1975,7.04,13.25,14.6,5.0,30.103,9.02,6.01,12.02,21.04,12.02,2.119,3.989,4.395,1.505,2.715,1.809,3.618,6.334,3.618
Australia,1976,7.04,13.25,14.6,5.0,36.129,9.02,6.01,12.02,21.04,12.02,2.543,4.787,5.275,1.806,3.259,2.171,4.343,7.602,4.343
Australia,1977,7.04,13.25,14.6,5.0,37.905,9.02,6.01,12.02,21.04,12.02,2.669,5.022,5.534,1.895,3.419,2.278,4.556,7.975,4.556
Australia,1978,7.04,13.25,14.6,5.0,42.219,9.02,6.01,12.02,21.04,12.02,2.972,5.594,6.164,2.111,3.808,2.537,5.075,8.883,5.075
Australia,1979,7.04,13.25,14.6,5.0,46.496,9.02,6.01,12.02,21.04,12.02,3.273,6.161,6.788,2.325,4.194,2.794,5.589,9.783,5.589
Australia,1980,7.04,13.25,14.6,5.0,50.962,9.02,6.01,12.02,21.04,12.02,3.588,6.752,7.44,2.548,4.597,3.063,6.126,10.722,6.126
Australia,1981,7.04,13.25,14.6,5.0,60.608,9.02,6.01,12.02,21.04,12.02,4.267,8.031,8.849,3.03,5.467,3.643,7.285,12.752,7.285
Australia,1982,7.04,13.25,14.6,5.0,65.728,9.02,6.01,12.02,21.04,12.02,4.627,8.709,9.596,3.286,5.929,3.95,7.9,13.829,7.9
Australia,1983,7.04,13.25,14.6,5.0,65.928,9.02,6.01,12.02,21.04,12.02,4.641,8.735,9.625,3.296,5.947,3.962,7.924,13.871,7.924
Australia,1984,7.04,13.25,14.6,5.0,74.498,9.02,6.01,12.02,21.04,12.02,5.245,9.871,10.877,3.725,6.72,4.477,8.955,15.674,8.955
Australia,1985,7.04,13.25,14.6,5.0,69.413,9.02,6.01,12.02,21.04,12.02,4.887,9.197,10.134,3.471,6.261,4.172,8.343,14.604,8.343
Australia,1986,7.04,13.25,14.6,5.0,69.331,9.02,6.01,12.02,21.04,12.02,4.881,9.186,10.122,3.467,6.254,4.167,8.334,14.587,8.334
Australia,1987,7.04,13.25,14.6,5.0,70.801,9.02,6.01,12.02,21.04,12.02,4.984,9.381,10.337,3.54,6.386,4.255,8.51,14.896,8.51
Australia,1988,7.04,13.25,14.6,5.0,83.098,9.02,6.01,12.02,21.04,12.02,5.85,11.011,12.132,4.155,7.495,4.994,9.988,17.484,9.988
Australia,1989,6.92,13.35,14.6,5.0,96.741,9.02,6.01,12.03,21.05,12.03,6.694,12.915,14.124,4.837,8.726,5.814,11.638,20.364,11.638
Australia,1990,6.79,13.59,14.6,5.0,98.799,9.0,6.0,12.0,21.01,12.0,6.708,13.427,14.425,4.94,8.892,5.928,11.856,20.758,11.856
Australia,1991,6.55,14.07,14.6,5.0,109.814,8.97,5.98,11.96,20.92,11.96,7.193,15.451,16.033,5.491,9.85,6.567,13.134,22.973,13.134
Australia,1992,6.36,13.2,14.6,5.0,115.679,9.12,6.08,12.17,21.29,12.17,7.357,15.27,16.889,5.784,10.55,7.033,14.078,24.628,14.078
Australia,1993,6.38,15.02,14.6,5.0,113.336,8.85,5.9,11.8,20.65,11.8,7.231,17.023,16.547,5.667,10.03,6.687,13.374,23.404,13.374
Australia,1994,6.26,14.3,14.6,5.0,117.79,8.98,5.98,11.97,20.94,11.97,7.374,16.844,17.197,5.889,10.578,7.044,14.099,24.665,14.099
Australia,1995,6.0,12.17,14.6,5.0,135.914,9.33,6.22,12.45,21.78,12.45,8.155,16.541,19.843,6.796,12.681,8.454,16.921,29.602,16.921
Australia,1996,5.76,12.17,14.6,5.0,143.36,9.37,6.25,12.49,21.86,12.49,8.258,17.447,20.931,7.168,13.433,8.96,17.906,31.339,17.906
Australia,1997,5.69,12.17,14.6,5.0,150.812,9.38,6.25,12.51,21.89,12.51,8.581,18.354,22.019,7.541,14.146,9.426,18.867,33.013,18.867
Australia,1998,5.39,12.17,14.6,5.0,123.956,9.43,6.28,12.57,21.99,12.57,6.681,15.085,18.098,6.198,11.689,7.784,15.581,27.258,15.581
Australia,1999,5.21,12.17,14.6,5.0,138.837,9.45,6.3,12.6,22.06,12.6,7.233,16.897,20.27,6.942,13.12,8.747,17.494,30.628,17.494
Australia,2000,5.18,12.17,14.6,5.0,145.422,9.46,6.3,12.61,22.07,12.61,7.533,17.698,21.232,7.271,13.757,9.162,18.338,32.095,18.338
Australia,2001,5.23,12.17,14.71,5.0,144.52,9.43,6.29,12.58,22.01,12.58,7.558,17.588,21.259,7.226,13.628,9.09,18.181,31.809,18.181
Australia,2002,5.35,12.17,15.51,5.0,151.701,9.29,6.2,12.39,21.69,12.39,8.116,18.462,23.529,7.585,14.093,9.405,18.796,32.904,18.796
Australia,2003,5.28,12.17,15.48,5.0,174.841,9.31,6.21,12.41,21.72,12.41,9.232,21.278,27.065,8.742,16.278,10.858,21.698,37.975,21.698
Australia,2004,5.24,12.17,15.95,5.0,228.876,9.25,6.16,12.33,21.58,12.33,11.993,27.854,36.506,11.444,21.171,14.099,28.22,49.391,28.22
Australia,2005,5.2,12.17,15.9,5.0,258.531,9.26,6.17,12.35,21.61,12.35,13.444,31.463,41.106,12.927,23.94,15.951,31.929,55.869,31.929
Australia,2006,5.26,12.17,15.94,5.0,270.992,9.24,6.16,12.33,21.57,12.33,14.254,32.98,43.196,13.55,25.04,16.693,33.413,58.453,33.413
Australia,2007,5.28,12.17,16.49,5.0,303.966,9.16,6.11,12.21,21.37,12.21,16.049,36.993,50.124,15.198,27.843,18.572,37.114,64.958,37.114
Australia,2008,5.13,12.17,15.61,5.0,373.549,9.31,6.21,12.42,21.73,12.42,19.163,45.461,58.311,18.677,34.777,23.197,46.395,81.172,46.395
Australia,2009,5.09,12.17,15.88,5.0,357.463,9.28,6.19,12.37,21.65,12.37,18.195,43.503,56.765,17.873,33.173,22.127,44.218,77.391,44.218
Australia,2010,5.02,12.17,16.11,5.0,446.149,9.25,6.17,12.34,21.59,12.34,22.397,54.296,71.875,22.307,41.269,27.527,55.055,96.324,55.055
Australia,2011,4.84,12.17,16.32,5.0,528.739,9.25,6.17,12.33,21.58,12.33,25.591,64.348,86.29,26.437,48.908,32.623,65.194,114.102,65.194
Australia,2012,4.57,12.17,16.19,5.0,587.794,9.31,6.21,12.41,21.72,12.41,26.862,71.534,95.164,29.39,54.724,36.502,72.945,127.669,72.945
Australia,2013,4.51,12.17,15.4,5.0,593.553,9.44,6.29,12.58,22.02,12.58,26.769,72.235,91.407,29.678,56.031,37.335,74.669,130.7,74.669
Australia,2014,4.82,12.17,17.64,5.0,560.646,9.06,6.04,12.07,21.13,12.07,27.023,68.231,98.898,28.032,50.795,33.863,67.67,118.464,67.67
Australia,2015,5.24,12.17,18.29,5.0,525.937,8.9,5.93,11.86,20.76,11.86,27.559,64.007,96.194,26.297,46.808,31.188,62.376,109.184,62.376
Australia,2016,5.61,12.17,18.54,5.0,473.571,8.8,5.87,11.74,20.54,11.74,26.567,57.634,87.8,23.679,41.674,27.799,55.597,97.271,55.597
Australia,2017,5.45,12.17,18.58,5.0,513.416,8.82,5.88,11.76,20.58,11.76,27.981,62.483,95.393,25.671,45.283,30.189,60.378,105.661,60.378
Australia,2018,5.14,12.17,18.53,5.0,544.611,8.87,5.92,11.83,20.71,11.83,27.993,66.279,100.916,27.231,48.307,32.241,64.428,112.789,64.428
Australia,2019,4.83,12.17,17.13,5.0,530.158,9.13,6.09,12.17,21.3,12.17,25.607,64.52,90.816,26.508,48.403,32.287,64.52,112.924,64.52
Australia,2020,4.52,12.17,17.06,5.0,584.469,9.19,6.12,12.25,21.44,12.25,26.418,71.13,99.71,29.223,53.713,35.77,71.598,125.31,71.598
Australia,2021,4.74,12.11,19.29,5.0,738.755,8.83,5.89,11.77,20.6,11.77,35.017,89.463,142.506,36.938,65.232,43.513,86.951,152.183,86.951
Australia,2022,5.02,12.64,20.25,5.0,680.151,8.56,5.71,11.42,19.98,11.42,34.144,85.971,137.731,34.008,58.221,38.837,77.673,135.894,77.673
Australia,2023,5.01,12.64,21.01,5.0,695.724,8.45,5.63,11.27,19.72,11.27,34.856,87.94,146.172,34.786,58.789,39.169,78.408,137.197,78.408
Australia,2024,4.96,12.64,21.01,5.0,704.778,8.46,5.64,11.28,19.73,11.28,34.957,89.084,148.074,35.239,59.624,39.749,79.499,139.053,79.499
Australia,2025,4.96,12.64,21.01,5.0,721.423,8.46,5.64,11.28,19.73,11.28,35.783,91.188,151.571,36.071,61.032,40.688,81.376,142.337,81.376
